Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-07-16 00:00:00+00:00,117780.359375,118175.71875,117469.7265625,118115.3203125,7008378880,0.0,0.0
2025-07-16 01:00:00+00:00,118123.1015625,118193.09375,117621.8984375,117748.4765625,4999389184,0.0,0.0
2025-07-16 02:00:00+00:00,117739.3515625,117739.3515625,117107.640625,117289.0703125,7107485696,0.0,0.0
2025-07-16 03:00:00+00:00,117333.3125,117510.53125,117259.1171875,117493.4140625,11053694976,0.0,0.0
2025-07-16 04:00:00+00:00,117496.40625,117666.4375,117284.5859375,117624.3984375,6291259392,0.0,0.0
2025-07-16 05:00:00+00:00,117668.296875,118029.96875,117668.296875,117879.7578125,6307708928,0.0,0.0
2025-07-16 06:00:00+00:00,117881.5078125,118305.8515625,117792.9140625,118279.6796875,14067654656,0.0,0.0
2025-07-16 07:00:00+00:00,118279.53125,118306.0,118080.5625,118178.3515625,9830965248,0.0,0.0
2025-07-16 08:00:00+00:00,118222.5234375,118754.2265625,118165.625,118709.171875,12004048896,0.0,0.0
2025-07-16 09:00:00+00:00,118706.7578125,119193.1875,118706.7578125,119121.046875,13824180224,0.0,0.0
2025-07-16 10:00:00+00:00,119175.6171875,119294.4765625,118762.875,118762.875,13464641536,0.0,0.0
2025-07-16 11:00:00+00:00,118787.890625,118910.953125,118702.078125,118765.2578125,6469353472,0.0,0.0
2025-07-16 12:00:00+00:00,118778.8984375,119042.1796875,118737.5625,118933.96875,8455675904,0.0,0.0
